ID,StoreName,Address,Category,StoreType,State,CityCN,Country,PostalCode,City,Street,HouseNumber,Latitude,Longitude,DailySales,MonthlySales,DailyTraffic,TrafficLevel,MachineCount
317,Restaurant Yanas旺盛大酒店,"Professor-Zintl-Straße 7,92637 Weiden in der Oberpfalz,Germany",餐厅,大型自助餐厅,巴伐利亚州,上普法尔茨地区魏登,Germany,92637,Weiden in der Oberpfalz,Professor-Zintl-Straße,7,49.6927362,12.1364795,,,,,
190,Asia World金宫大饭店,"Hinterangerstraße 3, 85051 Ingolstadt,Germany",餐厅,大型自助餐厅,巴伐利亚州,因戈尔施塔特,Germany,85051,Ingolstadt,Hinterangerstraße,3,48.7360923,11.4370606,,,,,
319,Cooking Asia Freising亚洲美食城,"Angerstraße 19,85354 Freising,Germany",餐厅,社区商业中心,巴伐利亚州,弗赖辛,Germany,85354,Freising,Angerstraße,19,48.38736,11.73339,,,,,
320,Asia Palast Bischberg鑫源大酒楼,"Industriestraße 2，96120 Bischberg,Germany",餐厅,大型自助餐厅,巴伐利亚州,比施贝格,Germany,96120,Bischberg,Industriestraße,2,49.9165033,10.8132436,,,,,
194,Jade Running-Sushi Restaurant,"Ochsenzoller Str. 194, 22848 Norderstedt,Germany",餐厅,网红餐厅,石荷州,诺德施泰特,Germany,22848,Norderstedt,Ochsenzoller Str,194,53.6813473,9.993857,,,,,
192,Mauzi Mami Dumpling,"Lange Reihe 2, 20099 Hamburg,Germany",餐厅,网红餐厅,汉堡州,汉堡,Germany,20099,Hamburg,Lange Reihe,2,53.5551672,10.008602,,,,,
193,Yin Seafood Restaurant,"Große Elbstraße 133/135, 22767 Hamburg,Germany",餐厅,网红餐厅,汉堡州,汉堡,Germany,22767,Hamburg,Große Elbstraße,133/135,53.5444473,9.9387395,,,,,
186,Mr. Wang,"Celler Str. 69, 29525 Uelzen,Germany",餐厅,大型自助餐厅,下萨克森州,于尔岑,Germany,29525,Uelzen,Celler Str,69,52.9479852,10.5453783,,,,,
172,China-Stammtisch "Kimbo Burg","Otto-von-Guericke-Straße 107, 39104 Magdeburg,Germany",餐厅,网红餐厅,萨安州,马格德堡,Germany,39104,Magdeburg,Otto-von-Guericke-Straße,107,52.132787,11.633159,,,,,
326,BukChon Korean Kitchen,"Katharinenstraße 5, 70182 Stuttgart,Germany",餐厅,网红餐厅,巴符州,斯图加特,Germany,70182,Stuttgart,Katharinenstraße,5,48.7717263,9.1798105,,,,,
327,小龙坎 慕尼黑,"FORUM Schwanthalerhöhe, Theresienhöhe 5, 80339 München,Germany",餐厅,连锁餐饮,巴伐利亚州,慕尼黑,Germany,80339,München,Theresienhöhe,5,48.136676,11.5470738,,,,,
328,Restaurant shokuji,"Gollierstraße 4, 80339 München,Germany",餐厅,大型自助餐厅,巴伐利亚州,慕尼黑,Germany,80339,München,Gollierstraße,4,48.1357466,11.5471201,,,,,
329,帝苑中餐馆 King's Garden Restaurant,"Hermann-Böcker-Straße 13, 82140 Olching,Germany",餐厅,大型自助餐厅,巴伐利亚州,奥尔兴,Germany,82140,Olching,Hermann-Böcker-Straße,13,48.2213654,11.3299158,,,,,
330,Gourmet Lin,"Zollersbühnstraße 2, 76437 Rastatt,Germany",餐厅,大型自助餐厅,巴符州,拉施塔特,Germany,76437,Rastatt,Zollersbühnstraße,2,48.8597599,8.2322415,,,,,
331,China Restaurant SanBao,"Burgpl. 2, 72764 Reutlingen,Germany",餐厅,网红餐厅,巴符州,罗伊特林根,Germany,72764,Reutlingen,Burgpl.,2,48.4902076,9.216991,,,,,
332,"New Shanghai Restaurant
新上海","Leitzstraße 47, Heilbronner Str. 291, 70469 Stuttgart,Germany",餐厅,大型自助餐厅,巴符州,斯图加特,Germany,70469,Stuttgart,Leitzstraße,47,48.8129425,9.1784505,,,,,
188,MUC-Tax Free Shop免税店,"Thomas-Wimmer-Ring 1, 80539 München",零售,Kiosk,巴伐利亚州,慕尼黑,Germany,80539,München,Thomas-Wimmer-Ring,1,48.13543,11.58237,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
